,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,
,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked,Floating rate,Straight fix rate,Inflation indexed,Exchange rate linked
United States,0,2531.5,0,0,0,2667.28,0,0,0,2693.38,33.04,0,0,2581.83,67.64,0,0,2428.17,100.74,0,0,2183.82,121.21,0,0,2016.69,140.06,0,0,2169.65,146.85,0,0,2470.19,176.19,0,0,2696.67,245.94,0,0,2877.41,328.68,0,0,2972.54,411.12,0,0,3047.02,471.66,0,0,3386.87,530.11,0,0,4899.04,568.06,0,0,6464.39,616.11,0,0,7669.17,738.76,0,0,8567.28,849.84,0,0,9289.89,972.6,0,163.99,9805.35,1077.55,0,328.04,10181.6,1167.9,0,335.06,10508.02,1247.2,0,343.05,10842.27,1327.53,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,original,remaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0.7,1.3,1,1.1,12,19.7,12.8,19.8,12.4,19.2,12.2,13.42,11.96,13.49,11.91,14.11,12.12,15.5,11.84,15.16,10.94,14.27,9.77,11.93,8.15,12.94,7.02,10.29,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,9,6,9,5.6,9.1,5.2,9.7,5.1,10.2,5,10.7,5.1,11.2,4.9,11.6,5,11.7,4.8,11.7,4.9,11,4.7,11.1,5.6,10.6,5.4,9.9,5.2,7.6,5.1,7.3,4.9,7.2,5,7.9,5.3,8.5,6,9.2,6.5,9.6,6.8,10.1,7,10.4,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,...,4.8,...,4.6,...,4.4,...,4.9,8.8,5.1,9.5,5.5,9.5,5.4,9.7,5.4,9.6,5.3,10.3,6.1,10.6,6.2,11.1,6.3,10.8,6.1,10.2,5.6,10,5.5,10.2,5.8,10.6,6.2,11.2,6.8,11.8,7.2,12.4,7.5,13.7,8,14.6,8.8,15.2,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,...,0.69,...,0.81,...,4.26,...,1.63,...,2.26,...,2.69,...,3.32,...,2.94,...,2.67,...,2.36,...,2.29,...,2.59,...,3.04,...,3.28,...,3.37,...,3.36,...,3.49,...,3.84,...,4.06,...,4.28,...,4.44,...,4.44,...,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,...,4.9,...,5.5,...,5.8,...,6.3,...,6.17,...,6.5,...,6.42,10.2,6.42,10.1,6.65,9.9,6.85,10,6.71,10.3,6.75,11,7.1,9.1,6.22,9,6.03,9.1,6,9,5.82,8.9,5.76,9.6,5.88,10.2,6.55,10.3,6.5,10.3,6.48,10.6,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,19.8,19.8,19.4,19.2,14.7,16.9,...,15.9,14.7,14.8,20.8,16.5,11.6,14,14.1,13.5,10.81,11.992807,16.27,11.409113,17.05,11.27,17.5,12.6,16.55,11.46,16.4,13.3,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,7,4.5,8,5.4,9,6.2,9.6,6.6,9.8,7.1,11.7,8.8,13.3,10.4,11.8,8.9,11.8,8.5,12,8.5,12.4,8.4,12.5,8.2,12.6,7.9,12.6,7.6,12.4,7.2,12.7,7.6,13.5,8.2,14.1,8.8,14.5,9.1,15,9.5,15.4,9.7,16.1,10,16.3,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,3.1,...,2.9,...,3,...,5.4,...,5.1,...,5.1,3.6,5.9,4.4,6.4,4.5,6.5,4.2,6.8,4.1,6.8,3.8,7.5,3.9,7.7,4.1,8.2,4.4,8.8,5.1,9,5.1,9.9,5.2,10.6,5.4,10.7628,5.56426,10.9914,5.89122,11.7559,6.28033,12.41475,6.514819,12.8226,6.53635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,...,...,...,...,...,...,...,...,4.15,2.05,5.22,3.37,6.9,4.77,7.08,4.88,7.55,5.33,6.99,4.84,7.23,4.81,7.97,5.31,8.83,5.82,9.38,5.9,9.72,6.04,9.51,5.78,9.19,5.42,9.47,5.27,10.04,5.4,10.49,5.21,10.49,4.98,10.86,5.05,11.07,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.6,6.4,11,6.6,10.4,6.2,10.6,6.2,10.8,6.3,11.1,6.5,11.3,6.5,11.6,6.5,12,6.6,12.2,6.7,12.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong SAR,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.7,7.2,7.7,6.2,8.5,6.1,8.5,5.1,9.3,4.9,8.2,4.5,6.9,4.4,5.7,3.5,5.6,3,5.5,2.4,5,2.6,5.4,2.8,5.8,3,6.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,...,5.1,...,7.3,...,5.7,...,4.6,...,3.9,...,3.9,...,3.7,...,3.7,...,4,...,4.1,...,4.1,...,4,6.8,4,7.1,3.8,5.3,2.7,6.4,2.9,8.5,3.6,8.2,3.2,7.7,3.1,7.9,3.6,7.6,3.6,7.1,3.4,6.7,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,...,...,...,...,...,...,6.6,6.5,7.7,6.3,12.6,7.1,14.3,8.2,13.8,8.9,14.94,9.78,14.13,9.63,16.9,9.92,14.72,9.97,14.9,10.59,13.81,10.45,11.16,9.82,11.62,9.78,12.66,9.6,13.5,9.67,14.23,10,14.66,10.23,16.03,10.5,14.76,10.65,14.13,10.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,...,...,...,...,...,...,...,...,8.89,7.02,5.64,6.01,...,5.11,13.06,7.57,7.79,7.76,7.9,8.41,7.64,7.56,11.47,7.12,12.05,8.21,12.05,8.21,12.55,7.93,13.11,8.58,14.29,9.166,14.6,9.9,14.5,10,14.2,9.7,13.9,9.3,14.1,9.1,13.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,8.493,6.8,7.785,6.6,8.003,6.5,8.034,6.4,8.284,6.3,8.505,6.2,9.151,6.5,9.424,6.6,9.535,6.6,9.716,6.2,9.981,6.1,10.547,6,11.015,6.2,11.216,6.2,11.262,6.3,11.208,6.2,11.022,6.3,11.3,6.7,11.808,7,12.339,7.1,12.331,6.768,12.928,7.115,13.44,7.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5.41,3.66,5.45,3.68,5.84,3.98,6.08,4.07,6.6,4.2,7,4.4,7.5,4.5,7.6,4.6,8.1,5,8.6,5.3,9.05386,5.68047,9.7,6.2,10.2,6.8,10.7,7.2,11.4,7.8,12.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,...,...,...,...,...,...,...,...,...,...,...,5,...,4,...,4,...,5,...,5,8.6,5,8.4,5.2,10,5.4,9.7,5.3,9.2,5.3,8.7,4.5,9.2,5.1,9.5,5.5,9.6,5.8,9.7,6.2,8.6,5.4,8.1,5.1,11.2,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,...,0.84,...,0.85,...,0.96,...,1.14,...,1.52,...,1.48,...,2.04,...,2.35,...,2.49,...,2.93,...,3.32,...,4.27,...,5.58,...,6.44,...,6.3,...,7.14,...,7.54,...,7.88,...,7.83,...,8,...,7.8,...,7.89,...,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,...,...,...,...,...,...,...,...,...,...,...,...,3.307086688,2.182808219,4.181535765,2.332760893,4.831315212,3.057514529,5.75774804,5.577837781,11.3890975,10.53272888,12.72890968,11.44458262,13.58060977,11.68051822,15.0784783,12.58531145,16.26877436,13.27818661,17.455112,13.96340535,17.40170502,13.3927147,17.6256172,13.15552557,17.87758042,13.55117941,17.71605846,13.52775349,17.47641841,12.9327871,15.57232014,12.77646098,14.99626785,12.46985954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,9.4,6.7,9.1,6.9,9.3,6.9,9.4,6.5,8.7,5.8,8.6,5.8,7.7,5,7.1,4.2,7,4.2,7,3.9,7.2,4.1,7.9,4.7,7.8,5,8.1,4.9,6.62,4.09,8.55,6.1,11.1,8.69,12.5,10,12.5,9.6,12.6,9.2,13,9.2,12.9,8.7,12,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,1.7,1.2,2.2,1.5,2.4,1.5,2.8,1.8,3.9,2.5,4.2,2.6,4,2.5,4.3,2.7,4.4,2.7,5.4,3.2,6.2,3.6,6.9,3.9,8,4.3,8.6,4.2,7.9,4.1,7.5,4.3,7.5,4.3,8.5,4.5,8.4,4.5,8.4,4.2,8.4,4.3,8.4,4.4,8.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.08,7.43,11.35,7.21,11.97,8.01,12.98,8.8,13.47,9.36,11.25,7.4,9,5.58,9.03,6.15,9.54,6.52,9.94,6.67,10.4,6.3,10.75,7.32,10.56,6.89,10.05,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,...,6.5,...,6.5,...,6.2,...,6.2,...,6.9,...,6,...,6.3,...,6,...,5.5,...,5,...,5,...,4.4,...,4.2,...,3.5,...,3.3,...,3.1,...,3.1,...,3.5,...,3.1,...,3.2,...,4.8,...,6.9,...,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,3.4,2,3.6,2,3.5,1.8,3.8,2.2,3.7,2.3,4.3,2.7,5.2,3.3,5.5,3.3,6.1,3.5,6,3.5,6.2,3.6,6.4,3.2,6.8,3.6,5.93,3.6,5.37,3.19,5.44,3.25,5.55,3.32,5.98,3.67,7.37,4.52,9.94,6.25,10.13,6.16,10.5,6.64,10.83,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,...,...,...,...,15.6,10,16.4,10,16.8,9.5,17.6,9.2,17.1,8.6,17.3,9,16.6,8.3,15.4,8.3,16,8.2,16.8,8.4,17.4,8.5,18.3,10,18,10.6,18.2,10.6,19.5,11.6,20.5,12.3,21.5,13.3,21.3,14.2,22.8,15.7,23.5,16,24.5,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,4.9,3.3,5,3.4,5.7,3.9,7.2,5,7.9,5.4,8.4,5.7,9.3,5.9,9.6,5.9,9.9,6,10.3,6.2,11,6.6,11.4,6.7,12.2,6.8,11.7,6.6,10.8,6.4,10.8,6.6,10.6,6.4,10.4,5.9,9.9,5.6,10.2,6,10.8,6.3,11.6,6.7,12.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8.515,6.008,8.71,5.96,8.62,5.6,8.757584296,5.372286052,9.711,5.83,10.2,5.8,10.15,5.84,10.34,5.95,11.23,6.62,12.01,7.73,13.08,8.3,14.94037693,9.793850032,16.40520306,10.64353864,16.84081865,10.91158126,18.19850305,15.17827377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,...,...,...,...,...,...,...,...,...,...,1.73,0.96,3.15,2.71,3.18,2.41,2.87,1.87,2.78,1.61,3.25,1.83,3.48,1.89,3.84,1.07,3.89,1.86,3.97017,1.92001,4.22964,2.47645,4.50505,2.49822,5.10439,2.72432,4.7,2.3,6.7305,4.50533,7.19867,4.52652,7.41527,4.26456,7.49055,4.20766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,...,9.7,...,...,...,...,...,9.3,...,9.8,...,11.1,...,11.3,...,11.4,...,11.8,...,12.1,...,13.1,...,13.9,...,14.5,...,14.5,...,13.5,...,13.4,...,14.5,...,14.6,...,14.7,...,15.8,...,15.8,...,17.5,...,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,...,5,...,5.1,...,5.2,...,5.4,...,5.6,...,5.8,...,5.5,...,5,...,4.7,...,4.5,...,4.5,...,4.5,...,4.6,...,4.2,...,4.6,...,4.9,...,5.2,...,5.4,...,5.6,...,5.7,...,5.6,...,5.6,...,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
